N	gene	beta	pval
5465	Cdk4	2.20993063356905	7.42090638407201e-05
5487	Cdkn2aipnl	2.21580116654953	0.999999865486721
5503	Cds2	-27.5931151240745	1.77293535876019e-08
5533	Cebpz	2.31457725489381	0.0914668448101912
5552	Cemip2	-2.21979797448597	1
5591	Cep250	-6.95410663033964	1
5602	Cep68	2.7889850005128	2.01977679417706e-09
5609	Cep85	-2.78316297582659	0.403995441553633
5613	Cep97	7.32268018949669	1.23778232603911e-08
5614	Cept1	2.21291578697555	0.02187702945774
5617	Cerk	-3.35677748530129	1
5621	Cers2	-3.54427247108298	1
5623	Cers4	-2.17869251402981	0.000507944235593601
5647	Cetn2	-5.25179275293284	0.120490566949944
5692	Cfl1	-34.6894955438405	3.53622780692874e-17
5694	Cflar	5.68210080414301	4.15588815876814e-09
5699	Cggbp1	-4.43983164715589	2.56496138320005e-06
5718	Chchd3	2.01951465696665	0.999999865486721
5725	Chd2	3.16515656653745	0.0127469307540451
5726	Chd3	9.12764383858459	0.000855392962670138
5732	Chd9	-2.87207974105824	6.80312883716171e-06
5750	Chka	-4.75050111551085	0.0233537365187851
5757	Chmp2a	-3.28486465202608	1.18245950213884e-06
5762	Chmp5	-2.33464025070443	1
5767	Chn2	-8.00890651036352	3.65581190579359e-10
5770	Chp1	-4.74609829815229	4.5508030140078e-05
5772	Chpf	-3.04779623676643	0.000140793049225251
5802	Chst10	2.89748440766096	3.05994685969877e-07
5804	Chst12	-3.13514363582819	0.114387726720923
5807	Chst15	2.28264919530722	1.64722721339995e-05
5815	Chsy1	-35.058315340961	0.33747673894013
5821	Churc1	4.21844712700293	1.13135345753032e-06
5842	Cipc	-6.96948708576705	0.0943540185056234
5844	Cirbp	5.50066013674399	3.08708557311746e-05
5848	Cish	-3.61263912577684	8.72637153793091e-06
5860	Ckb	11.657585683811	1.55372530101335e-06
5885	Clcn3	-2.40984879531557	0.00111656804746613
5921	Cldnd1	-3.96853955292112	6.70535615285988e-07
5959	Clic1	-14.1935368595836	2.20438699369286e-11
5961	Clic4	-2.35494739018871	0.00453973887618175
5965	Clip1	6.8815074799804	8.56677698900579e-07
5968	Clip4	-2.46830371971718	0.000457258078913968
5969	Clk1	11.5159991321988	0.00180722666014771
5975	Cln3	-4.61480292530094	0.0215119032579122
5979	Clnk	-3.7509285405007	8.62977772661066e-05
5997	Clta	-2.32566063386552	0.204884546355103
5999	Cltc	-5.59215747318499	1.19621621878175e-08
6007	Cma1	-17.0232026648032	0.588453284842472
6009	Cmah	5.47801650756348	1.10068750080243e-07
